Epochs    TL                  TA                  VL                  VA                  Time                
183       0.256890408123      0.946666666667      0.261466066284      0.973333333333      0.00142002105713    
184       0.249526239435      0.973333333333      0.260150156249      0.973333333333      0.00147795677185    
185       0.246106880402      0.973333333333      0.258422085063      0.973333333333      0.00149297714233    
186       0.247122849182      0.973333333333      0.258239651787      0.973333333333      0.00136590003967    
187       0.245049540133      0.973333333333      0.256769168382      0.973333333333      0.00122618675232    
188       0.243659060299      0.973333333333      0.255967146342      0.973333333333      0.0011579990387     
189       0.249678011193      0.986666666667      0.25506321098       0.973333333333      0.000827074050903   
190       0.244020524043      0.96                0.256515573901      0.946666666667      0.00080394744873    
191       0.241364759774      0.973333333333      0.253487859849      0.973333333333      0.000869989395142   
192       0.241515727833      0.973333333333      0.253788537805      0.96                0.00123190879822    
193       0.241321854604      0.96                0.252148359069      0.973333333333      0.00118899345398    
194       0.246753674904      0.986666666667      0.25205082086       0.96                0.000884771347046   
195       0.240323202435      0.973333333333      0.25011147917       0.973333333333      0.00081205368042    
196       0.237544511057      0.986666666667      0.248733909064      0.973333333333      0.000844955444336   
197       0.236647634422      0.973333333333      0.24831849763       0.973333333333      0.00180006027222    
198       0.236777848598      0.973333333333      0.247116942826      0.973333333333      0.00137710571289    
199       0.234475723989      0.973333333333      0.246723071698      0.973333333333      0.00106811523438    
200       0.239750160081      0.96                0.249225520997      0.946666666667      0.0014488697052     
201       0.233900625098      0.96                0.245051463354      0.973333333333      0.0012640953064     
202       0.231594312643      0.973333333333      0.244112800302      0.973333333333      0.00142192840576    
203       0.231134752637      0.986666666667      0.243679381935      0.973333333333      0.00126194953918    
204       0.234537810292      0.973333333333      0.242186093116      0.973333333333      0.00138902664185    
205       0.228986585507      0.986666666667      0.242310187711      0.973333333333      0.00125408172607    
206       0.232040516442      0.96                0.240972926628      0.973333333333      0.0014021396637     
207       0.227153299741      0.986666666667      0.239767379697      0.973333333333      0.00143599510193    
208       0.228024474949      0.986666666667      0.239207893887      0.973333333333      0.000984191894531   
209       0.22504235169       0.973333333333      0.23884650924       0.973333333333      0.000853061676025   
210       0.223670068034      0.973333333333      0.237363029718      0.973333333333      0.000809907913208   
211       0.228848347552      0.946666666667      0.240558924865      0.946666666667      0.00091290473938    
212       0.223331178163      0.973333333333      0.236049488441      0.973333333333      0.00104999542236    
213       0.232885277061      0.946666666667      0.2364733144        0.96                0.000802993774414   
214       0.221393446237      0.973333333333      0.235395133854      0.973333333333      0.00114393234253    
215       0.224624549181      0.986666666667      0.237042926194      0.946666666667      0.00132513046265    
216       0.218684727293      0.96                0.232609904055      0.973333333333      0.00125098228455    
217       0.224165979156      0.973333333333      0.232286399435      0.973333333333      0.0013279914856     
218       0.216549895838      0.973333333333      0.231075580579      0.973333333333      0.00135493278503    
219       0.217414487904      0.973333333333      0.230594713315      0.973333333333      0.00149178504944    
220       0.215124566994      0.973333333333      0.229663980882      0.973333333333      0.00142693519592    
221       0.213809211595      0.973333333333      0.228875260705      0.973333333333      0.000868082046509   
222       0.214242764838      0.986666666667      0.228179021937      0.973333333333      0.000829935073853   
223       0.213076367203      0.973333333333      0.228183560061      0.973333333333      0.00081205368042    
224       0.211872683418      0.973333333333      0.226922274303      0.973333333333      0.00082802772522    
225       0.212336214964      0.973333333333      0.226900011404      0.973333333333      0.00129199028015    
226       0.210671897187      0.973333333333      0.225614329688      0.973333333333      0.00123500823975    
227       0.21131708262       0.973333333333      0.224986342056      0.973333333333      0.000869035720825   
228       0.212450448714      0.973333333333      0.224201135375      0.973333333333      0.00142383575439    
229       0.212726159165      0.973333333333      0.223501799008      0.973333333333      0.00147604942322    
230       0.209310059065      0.986666666667      0.223343240699      0.973333333333      0.00148487091064    
231       0.207917299375      0.973333333333      0.222937396665      0.973333333333      0.00144791603088    
232       0.209631289736      0.973333333333      0.221920265587      0.973333333333      0.00137805938721    
233       0.206449731231      0.96                0.221598331084      0.973333333333      0.00124287605286    
234       0.204811756006      0.973333333333      0.22033656274       0.973333333333      0.00080394744873    
235       0.20526096656       0.973333333333      0.219635316525      0.973333333333      0.00104808807373    
236       0.204748642116      0.973333333333      0.219070675629      0.973333333333      0.00086784362793    
237       0.208056030035      0.973333333333      0.219678039536      0.96                0.00110101699829    
238       0.206040933869      0.986666666667      0.218358836808      0.973333333333      0.000892877578735   
239       0.208247204314      0.973333333333      0.218510098262      0.973333333333      0.000882863998413   
240       0.205079144862      0.973333333333      0.216417323322      0.973333333333      0.000882863998413   
241       0.201209518964      0.973333333333      0.216344718562      0.973333333333      0.000849008560181   
242       0.199660543713      1.0                 0.216007783832      0.973333333333      0.000811100006104   
243       0.199546818264      0.973333333333      0.215071101138      0.973333333333      0.0012149810791     
244       0.197748462114      0.973333333333      0.214126958491      0.973333333333      0.00141191482544    
245       0.200048268005      0.973333333333      0.214394548549      0.973333333333      0.0014009475708     
246       0.198366092645      0.973333333333      0.21298205381       0.973333333333      0.00148987770081    
247       0.199009505285      0.986666666667      0.212842445419      0.973333333333      0.00104188919067    
248       0.198599745361      0.973333333333      0.212836630072      0.973333333333      0.000849008560181   
249       0.198107035087      0.96                0.211258682262      0.973333333333      0.000862836837769   
250       0.19521416537       0.986666666667      0.21069663134       0.973333333333      0.00114989280701    
251       0.193058511119      0.973333333333      0.2101488608        0.973333333333      0.00117993354797    
252       0.1954034605        0.973333333333      0.209493952393      0.973333333333      0.000934839248657   
253       0.194118665502      0.986666666667      0.209329454324      0.973333333333      0.00102400779724    
254       0.193394138996      0.973333333333      0.208470241783      0.973333333333      0.000854015350342   
255       0.191090606748      0.986666666667      0.207926796647      0.973333333333      0.00082802772522    
256       0.19273428096       0.986666666667      0.208662169161      0.973333333333      0.000860929489136   
257       0.189889538474      0.973333333333      0.206720751096      0.973333333333      0.00093412399292    
258       0.191651313917      0.973333333333      0.20794086738       0.96                0.00119495391846    
259       0.188682470599      0.973333333333      0.205642998501      0.973333333333      0.000941038131714   
260       0.189486713432      0.986666666667      0.205243056157      0.973333333333      0.000838041305542   
261       0.191630476353      0.973333333333      0.204573140252      0.973333333333      0.00084114074707    
262       0.187926729099      0.973333333333      0.204825780452      0.973333333333      0.000945091247559   
263       0.187027790114      0.973333333333      0.203527879651      0.973333333333      0.0015709400177     
264       0.187848334568      0.973333333333      0.203822930817      0.973333333333      0.0013861656189     
265       0.191465338353      0.973333333333      0.202532695171      0.973333333333      0.00138306617737    
266       0.191317429303      0.986666666667      0.203739194183      0.973333333333      0.000872135162354   
267       0.184282814092      0.973333333333      0.201482783772      0.973333333333      0.00136613845825    
268       0.187871907476      0.973333333333      0.204685223673      0.96                0.0013530254364     
269       0.185333045045      0.973333333333      0.201171175677      0.973333333333      0.00146698951721    
270       0.189504546852      0.96                0.200386294062      0.973333333333      0.00145196914673    
271       0.182115230941      0.973333333333      0.199510138887      0.973333333333      0.00143194198608    
272       0.183908484142      0.973333333333      0.200073945916      0.973333333333      0.00143790245056    
273       0.182066691741      0.986666666667      0.198837667575      0.973333333333      0.00144195556641    
274       0.184264969061      0.973333333333      0.199820903156      0.96                0.00107908248901    
275       0.180985038513      0.973333333333      0.197753542621      0.973333333333      0.000888824462891   
276       0.179748699404      0.973333333333      0.197456503308      0.973333333333      0.000828981399536   
277       0.180147493653      0.986666666667      0.197665796606      0.973333333333      0.000816106796265   
278       0.183317027692      0.973333333333      0.196244086021      0.973333333333      0.000779867172241   
279       0.185448090708      0.973333333333      0.195851453125      0.973333333333      0.00133681297302    
280       0.177445384964      0.986666666667      0.195505390033      0.973333333333      0.00135707855225    
281       0.177544403185      0.986666666667      0.19478330137       0.973333333333      0.00128102302551    
282       0.177782566117      0.986666666667      0.195405478568      0.973333333333      0.00136995315552    
283       0.176701367085      0.973333333333      0.193839784684      0.973333333333      0.000848054885864   
284       0.179934650168      0.973333333333      0.193699770216      0.973333333333      0.000823974609375   
285       0.176124694418      0.986666666667      0.193166547176      0.973333333333      0.000818967819214   
286       0.176799421419      0.986666666667      0.192540324765      0.973333333333      0.000928163528442   
287       0.173978394183      0.986666666667      0.192744670923      0.973333333333      0.000817060470581   
288       0.179731400341      0.973333333333      0.191921222882      0.973333333333      0.000813961029053   
289       0.176322610799      0.973333333333      0.191847356856      0.973333333333      0.000813007354736   
290       0.173333521997      0.986666666667      0.190677585923      0.973333333333      0.00123190879822    
